resume_id,jd_id,semantic_similarity,required_skill_overlap,preferred_skill_overlap,skills_count,candidate_exp_years,required_exp_years,experience_delta,hard_constraint_met,degree_requirement_met,target_match
res_21,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,4,3,1,1.0,1.0,0
res_22,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,3,3,0,1.0,1.0,0
res_23,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,4,3,1,1.0,1.0,0
res_24,jd_10_cpp_systems_dev,0.0171,0.2,0.2,7,5,3,2,1.0,1.0,0
res_25,jd_10_cpp_systems_dev,0.0,0.0,0.2,8,5,3,2,1.0,1.0,0
res_26,jd_10_cpp_systems_dev,0.0171,1.0,0.0,5,4,3,1,1.0,1.0,1
res_27,jd_10_cpp_systems_dev,0.0333,0.0,0.0,5,2,3,-1,0.0,1.0,0
res_28,jd_10_cpp_systems_dev,0.0,0.0,0.2,6,5,3,2,1.0,1.0,0
res_29,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,5,3,2,1.0,1.0,0
res_30,jd_10_cpp_systems_dev,0.0171,0.0,0.2,6,3,3,0,1.0,1.0,0
